Thu Apr 28 19:56:11 2022    stats.txt

         19705377 function calls (19694216 primitive calls) in 11.170 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      111    0.007    0.000    0.007    0.000 {built-in method io.open}
      107    0.001    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/data.py:332(join)
      107    0.000    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/tokenize/simple.py:136(line_tokenize)
      107    0.000    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/tokenize/simple.py:112(tokenize)
     9242    0.005    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:208(_ends_double_consonant)
      107    0.003    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/corpus/reader/wordlist.py:19(<listcomp>)
    13778    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
     1369    0.001    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:651(<lambda>)
      108    0.000    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/data.py:302(__init__)
      107    0.003    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/tokenize/simple.py:116(<listcomp>)
    41951    0.004    0.000    0.004    0.000 {method 'keys' of 'dict' objects}
    12835    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
      109    0.000    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/genericpath.py:16(exists)
      107    0.000    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/data.py:988(__init__)
      111    0.004    0.000    0.004    0.000 {built-in method posix.stat}
    19588    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
      107    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/data.py:1401(_check_bom)
    12733    0.002    0.000    0.002    0.000 {method 'extend' of 'list' objects}
    18967    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
      386    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:507(<lambda>)
        1    0.001    0.001    0.002    0.002 /Users/shania/cs200/search/search-rmao8-zguo47/index.py:123(refill_id_to_link)
    18957    0.002    0.000    0.002    0.000 /Users/shania/cs200/search/search-rmao8-zguo47/index.py:100(<lambda>)
      107    0.002    0.000    0.002    0.000 {method 'splitlines' of 'str' objects}
      107    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/data.py:1045(read)
    19154    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      214    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      107    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/data.py:1323(_read)
      109    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/re.py:203(sub)
    16213    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      108    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/posixpath.py:373(abspath)
      107    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/data.py:1166(__exit__)
        1    0.000    0.000    0.001    0.001 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/corpus/util.py:112(__getattr__)
        1    0.000    0.000    0.001    0.001 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/corpus/util.py:68(__load)
      107    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/stem/porter.py:86(__init__)
      107    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/data.py:1192(close)
        7    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_compile.py:759(compile)
      215    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/compat.py:25(add_py3_data)
      108    0.001    0.000    0.001    0.000 {method 'close' of '_io.BufferedReader' objects}
      109    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/posixpath.py:334(normpath)
     8456    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      108    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/posixpath.py:71(join)
     7880    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/copy.py:182(_deepcopy_atomic)
       37    0.001    0.000    0.001    0.000 /Users/shania/cs200/search/search-rmao8-zguo47/index.py:162(<listcomp>)
     3537    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        7    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_parse.py:937(parse)
     13/7    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_parse.py:435(_parse_sub)
      107    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/data.py:1361(_incr_decode)
    17/10    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_parse.py:493(_parse)
        3    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site-packages/nltk/data.py:471(find)
      321    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Users/shania/cs200/search/search-rmao8-zguo47/file_io.py:7(write_title_file)
        7    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_compile.py:598(_code)
      107    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/encodings/utf_8.py:15(decode)
      214    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
